date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2022-07-14,120.69,120.69,119.61,119.79,30220,纺织服饰,113638,台21转债,sh113638
2022-07-15,121.9,122.44,119.83,120.0,45070,纺织服饰,113638,台21转债,sh113638
2022-07-18,120.6,120.87,119.67,120.01,39280,纺织服饰,113638,台21转债,sh113638
2022-07-19,120.5,127.41,119.99,123.96,2180190,纺织服饰,113638,台21转债,sh113638
2022-07-20,123.92,130.0,123.01,127.38,2094060,纺织服饰,113638,台21转债,sh113638
2022-07-21,128.8,133.8,127.67,128.62,1714060,纺织服饰,113638,台21转债,sh113638
2022-07-22,128.49,129.72,126.02,129.26,269080,纺织服饰,113638,台21转债,sh113638
2022-07-25,129.9,130.17,127.19,128.82,140070,纺织服饰,113638,台21转债,sh113638
2022-07-26,128.82,152.0,128.02,133.78,3503250,纺织服饰,113638,台21转债,sh113638
2022-07-27,133.88,138.8,131.91,134.9,684140,纺织服饰,113638,台21转债,sh113638
2022-07-28,134.76,136.62,131.13,132.35,240090,纺织服饰,113638,台21转债,sh113638
2022-07-29,132.69,132.91,130.14,131.12,317880,纺织服饰,113638,台21转债,sh113638
2022-08-01,131.38,136.3,130.8,134.999,373080,纺织服饰,113638,台21转债,sh113638
2022-08-02,134.999,136.434,130.801,134.741,252890,纺织服饰,113638,台21转债,sh113638
2022-08-03,134.251,137.0,130.0,130.084,428450,纺织服饰,113638,台21转债,sh113638
2022-08-04,130.34,131.016,127.4,128.439,420350,纺织服饰,113638,台21转债,sh113638
2022-08-05,127.9,129.145,126.0,128.562,773550,纺织服饰,113638,台21转债,sh113638
2022-08-08,128.81,130.191,127.5,128.823,204440,纺织服饰,113638,台21转债,sh113638
2022-08-09,129.465,129.856,127.392,127.985,175010,纺织服饰,113638,台21转债,sh113638
2022-08-10,128.24,128.278,126.7,127.072,145060,纺织服饰,113638,台21转债,sh113638
2022-08-11,127.6,128.286,126.548,127.935,190520,纺织服饰,113638,台21转债,sh113638
2022-08-12,128.669,130.3,126.852,130.125,501350,纺织服饰,113638,台21转债,sh113638
2022-08-15,131.0,132.05,128.73,129.705,187880,纺织服饰,113638,台21转债,sh113638
2022-08-16,130.0,132.69,129.404,132.325,254280,纺织服饰,113638,台21转债,sh113638
2022-08-17,135.11,136.2,130.006,130.279,234410,纺织服饰,113638,台21转债,sh113638
2022-08-18,130.86,130.862,127.313,127.929,339080,纺织服饰,113638,台21转债,sh113638
2022-08-19,128.001,128.212,124.708,124.924,263010,纺织服饰,113638,台21转债,sh113638
2022-08-22,124.924,125.17,122.757,124.201,170720,纺织服饰,113638,台21转债,sh113638
2022-08-23,124.72,124.86,123.08,123.888,73710,纺织服饰,113638,台21转债,sh113638
2022-08-24,123.712,124.0,121.99,122.471,119230,纺织服饰,113638,台21转债,sh113638
2022-08-25,123.0,123.0,119.957,120.852,153120,纺织服饰,113638,台21转债,sh113638
2022-08-26,121.0,122.79,120.25,120.924,166210,纺织服饰,113638,台21转债,sh113638
2022-08-29,120.95,121.28,119.79,119.943,105930,纺织服饰,113638,台21转债,sh113638
2022-08-30,120.543,120.68,118.3,118.7,78690,纺织服饰,113638,台21转债,sh113638
2022-08-31,118.79,118.9,115.99,116.01,103920,纺织服饰,113638,台21转债,sh113638
2022-09-01,116.203,116.32,114.32,114.785,234530,纺织服饰,113638,台21转债,sh113638
